 115 3.23794     3.81654    3.81654  2.04804	2.74950     5.31051    7.11911
 120 2.21552     2.60532    2.60532  1.39808	1.87692     3.62517    4.85979
 130 2.478       2.91338    2.91338  1.56339	2.09885     4.05381    5.43442
 140 3.68734     4.33582    4.33582  2.32670	3.12360     6.03306    8.08774
 150 3.41537     4.01296    4.01296  2.15345	2.89101     5.58382    7.48551
 160 3.69164     4.33875    4.33875  2.32828	3.12572     6.03714    8.09321
 170 3.7172      4.36804    4.36804  2.34399	3.14681     6.07789    8.14784
 180 5.09802     5.99091    5.99091  3.21486	4.31596     8.33603   11.17503
 190 8.00095     9.40354    9.40354  5.04617	6.77449    13.08453   17.54073
 200 11.4616    13.47273   13.47273  7.22979	9.70600    18.74658   25.13112
