 115 18.5367    21.69159   21.69159 11.64022   15.62702    30.18268   40.46202
 120 10.3459    12.08950   12.08950  6.48751	8.70950    16.82189   22.55094
 130 6.27689     7.33634    7.33634  3.93685	5.28523    10.20812   13.68471
 140 5.95815     6.96547    6.96547  3.73784	5.01805     9.69208   12.99291
 150 4.15554     4.85636    4.85636  2.60604	3.49861     6.75736    9.05872
 160 3.74682     4.37838    4.37838  2.34954	3.15427     6.09228    8.16713
 170 3.58731     4.19123    4.19123  2.24911	3.01944     5.83187    7.81804
 180 4.93453     5.76557    5.76557  3.09394	4.15362     8.02248   10.75470
 190 7.66339     8.95498    8.95498  4.80546	6.45133    12.46038   16.70402
 200 11.132     13.00943   13.00943  6.98117	9.37223    18.10192   24.26691
