200  108.820  100. 100. 100.  161.720  83.700  113.570  235.850  330.820
300   91.460  100. 100. 100.  117.580  60.630	82.210  171.480  241.980
400   70.810  100. 100. 100.   78.120  39.830	54.340  114.560  162.130
500   62.720  100. 100. 100.   56.450  28.990	39.400   83.220  118.100
600   52.380  100. 100. 100.   41.600  20.960	28.620   61.330   88.570
700   43.860  100. 100. 100.   33.300  16.590	22.790   49.630   72.420
800   37.290  100. 100. 100.   27.640  13.660	18.840   41.630   61.010
900   32.650  100. 100. 100.   23.730  11.630	16.120   35.930   53.060
1000  29.430  100. 100. 100.   21.390  10.400	14.480   32.470   48.120
